NO_OF_SAMPLES	144
FREQUENCY	100
TIME_STAMP	2019-10-17, 14:53:47	105128.35029187
FIRST_SAMPLE	1409
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	-89.748001
FORCE_PLATE_CORNER_POSX_POSY_Y	574.848022
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	-93.639297
FORCE_PLATE_CORNER_NEGX_POSY_Y	115.820999
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	-595.119995
FORCE_PLATE_CORNER_NEGX_NEGY_Y	120.332001
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-592.184021
FORCE_PLATE_CORNER_POSX_NEGY_Y	578.882996
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1409	14.08000	30.160659	-20.092296	529.663483	-25.404062	-16.409267	0.211981	28.515433	-46.980768	0.000000	
1410	14.09000	30.924907	-24.606639	538.756724	-25.274720	-16.660286	0.041882	28.439880	-45.616857	0.000000	
1411	14.10000	31.711268	-28.960922	547.495080	-25.127055	-16.929208	-0.132702	28.416382	-44.304981	0.000000	
1412	14.11000	32.338558	-33.475465	556.056980	-24.980298	-17.144027	-0.288889	28.317001	-43.037730	0.000000	
1413	14.12000	33.125188	-38.422814	564.262216	-24.798192	-17.340029	-0.454833	28.193752	-41.741187	0.000000	
1414	14.13000	33.430937	-43.575715	569.899126	-24.554882	-17.363656	-0.666304	27.933047	-40.539686	0.000000	
1415	14.14000	33.668181	-48.979802	574.827303	-24.303757	-17.332846	-0.868712	27.621900	-39.378219	0.000000	
1416	14.15000	33.128346	-54.886664	576.118911	-24.009389	-17.184132	-1.162152	27.339559	-38.363824	0.000000	
1417	14.16000	32.220567	-60.679356	574.223322	-23.644947	-16.871924	-1.478050	26.950816	-37.444239	0.000000	
1418	14.17000	30.442058	-66.675550	567.981236	-22.984874	-16.313261	-1.866889	26.392261	-36.258700	0.000000	
1419	14.18000	28.180331	-72.489198	556.598769	-22.254871	-15.663320	-2.296072	25.932435	-35.253005	0.000000	
1420	14.19000	25.480134	-77.616727	540.787918	-21.292689	-14.812603	-2.692402	25.324754	-34.103035	0.000000	
1421	14.20000	22.683382	-82.080553	520.633251	-20.151184	-13.923900	-3.083566	24.822231	-32.860838	0.000000	
1422	14.21000	19.857238	-84.467213	495.617825	-18.859487	-12.862428	-3.275998	24.172663	-31.689409	0.000000	
1423	14.22000	16.086288	-86.075577	459.171476	-17.071287	-11.380873	-3.274416	23.210407	-30.123706	0.000000	
1424	14.23000	11.649939	-87.752443	416.603315	-15.194933	-9.898365	-3.331296	22.471537	-28.477210	0.000000	
1425	14.24000	8.182937	-83.928381	372.299176	-13.289099	-8.343907	-3.133193	21.366747	-27.097622	0.000000	
1426	14.25000	5.260549	-81.108701	320.720070	-11.417572	-6.887447	-2.765887	20.656377	-25.887349	0.000000	
1427	14.26000	2.872152	-73.950332	264.561852	-9.355941	-5.203356	-2.277200	19.074500	-24.570115	0.000000	
1428	14.27000	0.930641	-62.773474	205.843956	-7.216440	-3.781383	-1.749133	18.034122	-23.230928	0.000000	
1429	14.28000	0.168066	-49.516388	147.136751	-5.010480	-2.439323	-1.225778	16.379816	-20.943864	0.000000	
1430	14.29000	-0.618220	-34.068137	92.689675	-2.850440	-1.288780	-0.820188	14.022740	-16.383396	0.000000	
1431	14.30000	-0.301041	-17.321060	52.165019	-1.129742	-0.586137	-0.492919	11.318184	-8.730071	0.000000	
1432	14.31000	0.403344	-5.189384	26.687042	-0.018547	-0.268658	-0.288340	9.300744	6.643855	0.000000	
1433	14.32000	0.974848	0.886249	16.432132	0.353503	-0.211027	-0.188354	10.280438	18.763615	0.000000	
1434	14.33000	0.855376	2.071928	11.654501	0.280175	-0.193214	-0.200596	13.445187	16.260820	0.000000	
1435	14.34000	1.101844	2.643689	8.466615	0.351036	-0.164867	-0.177474	14.034657	28.220515	0.000000	
1436	14.35000	0.286844	-0.122060	5.617840	0.137725	-0.166378	-0.177676	27.389860	24.839280	0.000000	
1437	14.36000	0.377317	-0.212903	5.175066	0.155348	-0.138838	-0.187072	23.714555	31.130717	0.000000	
1438	14.37000	0.218774	-0.168468	5.442524	0.091993	-0.139664	-0.168373	23.876687	17.600966	0.000000	
1439	14.38000	0.354943	-0.099051	5.796621	0.137748	-0.139145	-0.186982	21.365184	23.898625	0.000000	
1440	14.39000	0.332196	-0.053831	5.531301	0.110454	-0.148437	-0.177653	24.244183	19.805427	0.000000	
1441	14.40000	0.423350	-0.054047	5.089568	0.100368	-0.130333	-0.131850	22.077247	19.592752	0.000000	
1442	14.41000	0.286068	0.037174	4.823548	0.100896	-0.130411	-0.168294	0.000000	0.000000	0.000000	
1443	14.42000	0.377742	-0.053520	5.441702	0.137372	-0.157243	-0.159389	25.924173	25.084893	0.000000	
1444	14.43000	0.217799	-0.053811	4.911636	0.145724	-0.093960	-0.159233	0.000000	0.000000	0.000000	
1445	14.44000	0.286414	-0.008125	5.176831	0.137060	-0.130203	-0.154659	22.751702	25.980630	0.000000	
1446	14.45000	0.331730	-0.054113	5.001889	0.091653	-0.103259	-0.173043	17.798051	18.204316	0.000000	
1447	14.46000	0.332034	-0.053778	5.177918	0.136591	-0.103014	-0.141021	17.138033	26.242510	0.000000	
1448	14.47000	0.241268	-0.031695	5.267137	0.082701	-0.121654	-0.154531	21.083975	15.386901	0.000000	
1449	14.48000	0.263969	-0.190967	5.622853	0.118466	-0.048923	-0.164051	6.641649	21.889215	0.000000	
1450	14.49000	0.218057	-0.053741	4.999797	0.163572	-0.093891	-0.136329	0.000000	0.000000	0.000000	
1451	14.50000	0.331529	-0.030899	5.002246	0.136440	-0.066757	-0.154806	10.501309	26.967755	0.000000	
1452	14.51000	0.263830	-0.077085	5.090441	0.109239	-0.085203	-0.140911	14.480482	21.515841	0.000000	
1453	14.52000	0.377305	-0.008020	5.179090	0.136562	-0.084853	-0.145663	13.272506	25.872134	0.000000	
1454	14.53000	0.332374	-0.076926	5.443984	0.100808	-0.121399	-0.154735	19.667611	18.532424	0.000000	
1455	14.54000	0.241295	-0.032042	5.002542	0.064064	-0.103704	-0.136140	18.618828	12.507551	0.000000	
1456	14.55000	0.149391	-0.031383	4.556577	0.118750	-0.121344	-0.168184	0.000000	0.000000	0.000000	
1457	14.56000	0.263740	-0.122531	4.821190	0.109879	-0.157484	-0.163768	0.000000	0.000000	0.000000	
1458	14.57000	0.263265	-0.008472	4.557044	0.109626	-0.130339	-0.159111	0.000000	0.000000	0.000000	
1459	14.58000	0.399471	0.083199	4.647579	0.118599	-0.102970	-0.159291	0.000000	0.000000	0.000000	
1460	14.59000	0.218192	0.036919	5.536360	0.109315	-0.031061	-0.145473	3.857226	18.915202	0.000000	
1461	14.60000	0.217853	-0.031400	4.646664	0.118260	-0.094175	-0.145373	0.000000	0.000000	0.000000	
1462	14.61000	0.331482	0.037438	4.914781	0.136104	-0.048713	-0.136418	0.000000	0.000000	0.000000	
1463	14.62000	0.331999	0.059891	5.269003	0.100444	-0.085249	-0.140904	13.467849	18.042821	0.000000	
1464	14.63000	0.286341	-0.031229	4.823070	0.118534	-0.121258	-0.145443	0.000000	0.000000	0.000000	
1465	14.64000	0.331924	-0.077049	5.181489	0.099930	-0.039934	-0.145643	4.952862	19.331046	0.000000	
1466	14.65000	0.354359	-0.054057	4.469674	0.109029	-0.103084	-0.140936	0.000000	0.000000	0.000000	
1467	14.66000	0.127076	-0.054485	5.089871	0.100708	-0.094448	-0.168219	17.389659	19.661967	0.000000	
1468	14.67000	0.218191	-0.031733	5.003677	0.099823	-0.049163	-0.131664	7.901904	19.648693	0.000000	
1469	14.68000	0.240523	-0.076586	4.824758	0.162967	-0.039538	-0.131844	0.000000	0.000000	0.000000	
1470	14.69000	0.240144	0.082771	4.827290	0.118157	-0.030834	-0.154604	0.000000	0.000000	0.000000	
1471	14.70000	0.194885	-0.009021	4.472496	0.090573	-0.040114	-0.140744	0.000000	0.000000	0.000000	
1472	14.71000	0.217962	-0.008804	4.825357	0.100145	-0.076254	-0.145363	0.000000	0.000000	0.000000	
1473	14.72000	0.263554	-0.054889	4.561581	0.063312	-0.049309	-0.131632	0.000000	0.000000	0.000000	
1474	14.73000	0.353530	0.083350	4.471611	0.145216	-0.048504	-0.154751	0.000000	0.000000	0.000000	
1475	14.74000	0.262948	0.082595	4.561760	0.108700	-0.030880	-0.136236	0.000000	0.000000	0.000000	
1476	14.75000	0.217597	-0.077404	4.294535	0.090501	-0.049072	-0.145383	0.000000	0.000000	0.000000	
1477	14.76000	0.331428	-0.054238	4.650150	0.099601	-0.030806	-0.145592	0.000000	0.000000	0.000000	
1478	14.77000	0.263259	-0.009439	4.296808	0.045114	-0.040362	-0.136143	0.000000	0.000000	0.000000	
1479	14.78000	0.331964	0.082709	5.001704	0.100539	-0.121424	-0.136226	21.428626	18.870466	0.000000	
1480	14.79000	0.262809	0.037517	4.647014	0.136687	-0.084879	-0.168379	0.000000	0.000000	0.000000	
1481	14.80000	0.262679	0.037532	4.648661	0.145280	-0.039583	-0.159279	0.000000	0.000000	0.000000	
1482	14.81000	0.217954	-0.054930	4.561387	0.063453	-0.049348	-0.140750	0.000000	0.000000	0.000000	
1483	14.82000	0.262654	0.060236	4.382906	0.144918	-0.039596	-0.140883	0.000000	0.000000	0.000000	
1484	14.83000	0.285660	0.105659	4.561977	0.135504	-0.012589	-0.117970	0.000000	0.000000	0.000000	
1485	14.84000	0.331325	-0.053682	4.648593	0.153743	-0.030413	-0.131928	0.000000	0.000000	0.000000	
1486	14.85000	0.195221	-0.009030	5.005096	0.090730	-0.022100	-0.140816	2.678868	17.641944	0.000000	
1487	14.86000	0.149232	0.036690	4.561831	0.108547	-0.012925	-0.136141	0.000000	0.000000	0.000000	
1488	14.87000	0.240073	-0.008562	4.560731	0.109021	-0.039862	-0.163793	0.000000	0.000000	0.000000	
1489	14.88000	0.217733	-0.031483	4.826982	0.117755	-0.021818	-0.140898	0.000000	0.000000	0.000000	
1490	14.89000	0.217844	0.082553	4.647200	0.109308	-0.103355	-0.136085	0.000000	0.000000	0.000000	
1491	14.90000	0.263022	0.105294	4.473664	0.108369	-0.021872	-0.117867	0.000000	0.000000	0.000000	
1492	14.91000	0.263345	-0.122765	4.292435	0.108675	-0.085075	-0.136283	0.000000	0.000000	0.000000	
1493	14.92000	0.263002	0.037411	4.826361	0.145063	-0.030610	-0.140950	0.000000	0.000000	0.000000	
1494	14.93000	0.150001	-0.031355	5.446053	0.145231	-0.030870	-0.131724	4.397335	26.342172	0.000000	
1495	14.94000	0.330567	0.106114	4.294748	0.145091	-0.039465	-0.154701	0.000000	0.000000	0.000000	
1496	14.95000	0.194647	0.037092	4.202597	0.118447	-0.121282	-0.154397	0.000000	0.000000	0.000000	
1497	14.96000	0.217551	-0.031508	4.472052	0.117566	-0.030823	-0.136265	0.000000	0.000000	0.000000	
1498	14.97000	0.149086	-0.008920	4.294368	0.099801	-0.049091	-0.154440	0.000000	0.000000	0.000000	
