NO_OF_SAMPLES	144
FREQUENCY	100
TIME_STAMP	2019-10-17, 14:53:47	105128.35029187
FIRST_SAMPLE	1409
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 3
FORCE_PLATE_CORNER_POSX_POSY_X	1135.569946
FORCE_PLATE_CORNER_POSX_POSY_Y	564.732971
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	1128.060059
FORCE_PLATE_CORNER_NEGX_POSY_Y	106.624001
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	625.776978
FORCE_PLATE_CORNER_NEGX_NEGY_Y	113.992996
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	633.607971
FORCE_PLATE_CORNER_POSX_NEGY_Y	574.497986
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1409	14.08000	-0.045550	-4.236946	4.182210	0.347533	0.106195	-0.025490	0.000000	0.000000	0.000000	
1410	14.09000	-0.023424	-4.281775	4.095697	0.347715	0.069774	-0.030290	0.000000	0.000000	0.000000	
1411	14.10000	-0.047231	-4.304260	3.919747	0.347720	0.106327	-0.034729	0.000000	0.000000	0.000000	
1412	14.11000	-0.048011	-4.304096	3.745977	0.292998	0.087641	-0.025561	0.000000	0.000000	0.000000	
1413	14.12000	-0.022807	-4.305197	4.271198	0.320188	0.087764	-0.030254	0.000000	0.000000	0.000000	
1414	14.13000	0.043680	-4.304681	3.921695	0.311258	0.087850	-0.034800	0.000000	0.000000	0.000000	
1415	14.14000	-0.025992	-4.326843	3.658468	0.302042	0.105946	-0.020889	0.000000	0.000000	0.000000	
1416	14.15000	-0.002561	-4.280715	3.659336	0.293365	0.033069	-0.039575	0.000000	0.000000	0.000000	
1417	14.16000	0.043685	-4.190881	3.744977	0.320605	0.106328	-0.048384	0.000000	0.000000	0.000000	
1418	14.17000	-0.091826	-4.214113	3.920431	0.210985	0.114516	-0.048368	0.000000	0.000000	0.000000	
1419	14.18000	-0.112664	-4.237100	4.357613	0.292860	0.087539	-0.034792	0.000000	0.000000	0.000000	
1420	14.19000	-0.047090	-4.282049	3.920452	0.292891	0.115001	-0.030047	0.000000	0.000000	0.000000	
1421	14.20000	-0.025242	-4.167898	3.569011	0.311369	0.124407	-0.034439	0.000000	0.000000	0.000000	
1422	14.21000	-0.025576	-4.349211	3.746791	0.311266	0.060384	-0.021131	0.000000	0.000000	0.000000	
1423	14.22000	-0.000378	-4.168706	4.008220	0.311166	0.078591	-0.020899	0.000000	0.000000	0.000000	
1424	14.23000	-0.045728	-4.214207	4.095614	0.301957	0.087596	-0.020918	0.000000	0.000000	0.000000	
1425	14.24000	-0.002131	-4.350094	3.922093	0.292842	0.087576	-0.021033	0.000000	0.000000	0.000000	
1426	14.25000	-0.022402	-4.215067	4.270352	0.319912	0.124112	-0.011582	0.000000	0.000000	0.000000	
1427	14.26000	-0.091983	-4.213957	3.918771	0.283912	0.142430	-0.048266	0.000000	0.000000	0.000000	
1428	14.27000	-0.048330	-4.349685	3.746275	0.265638	0.105746	-0.034729	0.000000	0.000000	0.000000	
1429	14.28000	-0.001431	-4.327286	4.009461	0.302097	0.069457	-0.030313	0.000000	0.000000	0.000000	
1430	14.29000	-0.025437	-4.304251	3.745190	0.329414	0.115291	-0.025449	0.000000	0.000000	0.000000	
1431	14.30000	-0.137867	-4.281398	3.918755	0.320384	0.115240	-0.039261	0.000000	0.000000	0.000000	
1432	14.31000	-0.045331	-4.305936	4.358874	0.301562	0.114774	-0.007124	0.000000	0.000000	0.000000	
1433	14.32000	-0.047215	-4.190510	3.744554	0.329555	0.087929	-0.025449	0.000000	0.000000	0.000000	
1434	14.33000	-0.114161	-4.305077	4.182289	0.301870	0.124093	-0.030074	0.000000	0.000000	0.000000	
1435	14.34000	-0.116297	-4.190443	3.568724	0.292970	0.124115	-0.020648	0.000000	0.000000	0.000000	
1436	14.35000	-0.047899	-4.281445	3.745121	0.311252	0.106061	-0.030064	0.000000	0.000000	0.000000	
1437	14.36000	-0.024534	-4.304662	3.920474	0.311181	0.115183	-0.034679	0.000000	0.000000	0.000000	
1438	14.37000	-0.023083	-4.282559	4.183367	0.301975	0.105930	-0.034734	0.000000	0.000000	0.000000	
1439	14.38000	-0.113817	-4.282096	4.182919	0.283793	0.087509	-0.034810	0.000000	0.000000	0.000000	
1440	14.39000	-0.114094	-4.213339	4.007488	0.302193	0.060297	-0.030232	0.000000	0.000000	0.000000	
1441	14.40000	-0.045868	-4.282667	4.183549	0.292702	0.105741	-0.020921	0.000000	0.000000	0.000000	
1442	14.41000	0.002030	-4.214878	4.533680	0.302159	0.069522	-0.053292	0.000000	0.000000	0.000000	
1443	14.42000	-0.092613	-4.190558	3.744005	0.302222	0.106019	-0.034569	0.000000	0.000000	0.000000	
1444	14.43000	-0.092273	-4.327136	4.008333	0.283848	0.087558	-0.034831	0.000000	0.000000	0.000000	
1445	14.44000	-0.114810	-4.281934	4.006463	0.311156	0.133403	-0.039192	0.000000	0.000000	0.000000	
1446	14.45000	-0.023506	-4.236543	4.008647	0.302091	0.069420	-0.025613	0.000000	0.000000	0.000000	
1447	14.46000	-0.046644	-4.236176	3.920252	0.320408	0.078727	-0.030167	0.000000	0.000000	0.000000	
1448	14.47000	-0.092041	-4.305329	4.095698	0.292481	0.123835	-0.002437	0.000000	0.000000	0.000000	
1449	14.48000	-0.022829	-4.283136	4.270709	0.301748	0.133198	-0.025420	0.000000	0.000000	0.000000	
1450	14.49000	-0.047007	-4.281615	3.920431	0.320359	0.087844	-0.030175	0.000000	0.000000	0.000000	
1451	14.50000	-0.024928	-4.236430	3.744919	0.302084	0.124250	-0.029933	0.000000	0.000000	0.000000	
1452	14.51000	-0.114009	-4.190833	4.006639	0.311292	0.087769	-0.034693	0.000000	0.000000	0.000000	
1453	14.52000	-0.092336	-4.167722	3.743213	0.302451	0.115326	-0.057523	0.000000	0.000000	0.000000	
