NO_OF_SAMPLES	402
FREQUENCY	100
TIME_STAMP	2019-10-17, 15:22:40	106860.80024563
FIRST_SAMPLE	95
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	-89.748001
FORCE_PLATE_CORNER_POSX_POSY_Y	574.848022
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	-93.639297
FORCE_PLATE_CORNER_NEGX_POSY_Y	115.820999
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	-595.119995
FORCE_PLATE_CORNER_NEGX_NEGY_Y	120.332001
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-592.184021
FORCE_PLATE_CORNER_POSX_NEGY_Y	578.882996
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
95	0.94000	1.044258	-0.799130	525.676671	-25.696007	11.174453	-0.204033	-21.490355	-49.378830	0.000000	
96	0.95000	1.162527	-1.556212	527.187774	-26.057910	11.108393	-0.208657	-21.312999	-49.867047	0.000000	
97	0.96000	1.054017	-1.927140	530.749338	-26.519078	11.221772	-0.208352	-21.376318	-50.376682	0.000000	
98	0.97000	0.989869	-2.318837	533.326860	-26.825970	11.228021	-0.217364	-21.280577	-50.681517	0.000000	
99	0.98000	1.017317	-2.301117	537.241036	-27.285031	11.232942	-0.262744	-21.137877	-51.172157	0.000000	
100	0.99000	0.885990	-2.603253	540.623628	-27.701157	11.328483	-0.234872	-21.173433	-51.602493	0.000000	
101	1.00000	0.752667	-2.766799	543.383161	-28.007978	11.425098	-0.266717	-21.234517	-51.895696	0.000000	
102	1.01000	0.710023	-2.861469	545.431292	-28.287867	11.467790	-0.275603	-21.230448	-52.209027	0.000000	
103	1.02000	0.507720	-2.933564	547.659719	-28.559064	11.600818	-0.293597	-21.372582	-52.488707	0.000000	
104	1.03000	0.213876	-2.959283	549.440980	-28.748768	11.698198	-0.302326	-21.459301	-52.663720	0.000000	
105	1.04000	0.259062	-2.913873	549.976977	-28.802422	11.752177	-0.357442	-21.540019	-52.713848	0.000000	
106	1.05000	0.054036	-2.686871	550.158701	-28.874455	11.796520	-0.375304	-21.598421	-52.844310	0.000000	
107	1.06000	-0.243321	-2.527373	549.452658	-28.847778	11.895998	-0.397869	-21.785047	-52.874736	0.000000	
108	1.07000	-0.291126	-2.480681	547.323208	-28.749402	11.915147	-0.397803	-21.900652	-52.902004	0.000000	
109	1.08000	-0.317688	-2.364322	544.216481	-28.560746	11.935215	-0.411573	-22.059697	-52.862839	0.000000	
110	1.09000	-0.093623	-2.520955	540.841162	-28.336542	11.928844	-0.407521	-22.201463	-52.762951	0.000000	
111	1.10000	0.016122	-2.495551	537.291391	-28.139448	11.958296	-0.412349	-22.410250	-52.742946	0.000000	
112	1.11000	0.081112	-2.469444	534.177169	-27.877819	11.852347	-0.407915	-22.346613	-52.559381	0.000000	
113	1.12000	0.238047	-2.308126	532.135489	-27.778850	11.817446	-0.412564	-22.378158	-52.585223	0.000000	
114	1.13000	0.191437	-2.444031	530.444852	-27.680061	11.755096	-0.398788	-22.327884	-52.554399	0.000000	
115	1.14000	0.373468	-2.626677	529.825133	-27.717006	11.755203	-0.394444	-22.367976	-52.670946	0.000000	
116	1.15000	0.396979	-2.946554	529.736020	-27.744922	11.764142	-0.380884	-22.390391	-52.707885	0.000000	
117	1.16000	0.237986	-3.062742	529.208540	-27.899190	11.790019	-0.398804	-22.449253	-53.042455	0.000000	
118	1.17000	0.169959	-2.995241	529.124071	-27.945358	11.852811	-0.361943	-22.566261	-53.143268	0.000000	
119	1.18000	0.148338	-2.974054	529.926577	-28.080769	11.869682	-0.366321	-22.562498	-53.320787	0.000000	
120	1.19000	-0.008562	-3.113654	531.084533	-28.253192	11.913097	-0.324736	-22.583385	-53.519732	0.000000	
121	1.20000	-0.120054	-3.299974	532.246262	-28.560584	11.955695	-0.351823	-22.605952	-53.967455	0.000000	
122	1.21000	-0.301184	-3.370619	533.052840	-28.705992	12.089947	-0.356195	-22.810030	-54.154041	0.000000	
123	1.22000	-0.435992	-3.328229	533.950223	-28.932993	12.196323	-0.323650	-22.960922	-54.492325	0.000000	
124	1.23000	-0.433511	-3.444890	535.106893	-29.140814	12.167328	-0.305039	-22.857622	-54.755264	0.000000	
125	1.24000	-0.340044	-3.676229	535.647740	-29.386620	12.228694	-0.245326	-22.956348	-55.141895	0.000000	
126	1.25000	-0.291685	-4.021882	536.363558	-29.658857	12.235561	-0.213057	-22.942379	-55.550437	0.000000	
127	1.26000	-0.288748	-4.367128	537.701113	-29.877134	12.315057	-0.167218	-23.033755	-55.793509	0.000000	
128	1.27000	-0.172012	-4.689965	538.683745	-30.167203	12.321851	-0.144191	-23.013429	-56.206891	0.000000	
129	1.28000	-0.419628	-4.990865	539.848555	-30.449280	12.481986	-0.107139	-23.242102	-56.586695	0.000000	
130	1.29000	-0.576556	-5.200609	540.746803	-30.784646	12.569543	-0.111220	-23.353880	-57.098062	0.000000	
131	1.30000	-0.822908	-5.639338	542.529108	-31.173659	12.602184	-0.119832	-23.319382	-57.596513	0.000000	
132	1.31000	-0.887220	-5.850340	544.138548	-31.617484	12.652611	-0.091715	-23.338732	-58.227707	0.000000	
133	1.32000	-0.907053	-6.219996	544.857408	-31.997892	12.667690	-0.100479	-23.334338	-58.822244	0.000000	
134	1.33000	-1.063612	-6.657441	545.217107	-32.288032	12.656174	-0.090858	-23.286260	-59.283374	0.000000	
135	1.34000	-0.925203	-7.345472	543.625199	-32.588677	12.609148	-0.067799	-23.277839	-59.956974	0.000000	
136	1.35000	-0.875611	-7.988828	544.871482	-32.977521	12.542823	-0.085944	-23.106914	-60.486799	0.000000	
137	1.36000	-0.826909	-8.427027	544.878031	-33.367256	12.476537	-0.067121	-22.988617	-61.168686	0.000000	
138	1.37000	-0.595754	-8.705404	545.237111	-33.800792	12.292445	-0.066569	-22.653158	-61.903167	0.000000	
139	1.38000	-0.683365	-9.600112	544.619950	-34.173340	12.235410	-0.052467	-22.567398	-62.590011	0.000000	
140	1.39000	-0.819133	-10.447739	541.962325	-34.420319	12.224911	-0.052162	-22.647768	-63.286386	0.000000	
141	1.40000	-1.045822	-11.205162	539.663122	-34.757259	12.240719	-0.083692	-22.755841	-64.120982	0.000000	
142	1.41000	-0.861335	-12.098767	538.426376	-35.085187	12.211668	-0.070021	-22.767721	-64.808624	0.000000	
143	1.42000	-0.835417	-12.811708	538.794084	-35.565914	12.280550	-0.106473	-22.882085	-65.603262	0.000000	
144	1.43000	-0.947231	-13.523463	538.448309	-35.929017	12.341274	-0.156661	-23.001023	-66.265697	0.000000	
145	1.44000	-0.901143	-14.143148	537.308851	-36.239225	12.511296	-0.188820	-23.369394	-66.935534	0.000000	
146	1.45000	-0.829624	-14.786821	537.583777	-36.647448	12.517376	-0.193205	-23.374233	-67.612326	0.000000	
147	1.46000	-0.964639	-15.268182	537.494135	-36.828038	12.443634	-0.238800	-23.230708	-67.923120	0.000000	
148	1.47000	-1.286670	-15.129401	535.892105	-36.681727	12.408692	-0.366865	-23.210091	-67.861999	0.000000	
149	1.48000	-1.246809	-14.759914	532.334820	-36.382155	12.294196	-0.467730	-23.152130	-67.777186	0.000000	
150	1.49000	-0.818435	-14.479194	530.188374	-35.892756	12.108877	-0.468602	-22.928525	-67.147754	0.000000	
151	1.50000	-0.551002	-13.240444	528.317241	-35.394016	12.040656	-0.441254	-22.900622	-66.534804	0.000000	
152	1.51000	-0.465979	-11.431563	527.157198	-34.902815	11.953753	-0.422461	-22.792379	-65.887562	0.000000	
153	1.52000	-0.264874	-9.944173	527.244880	-34.584309	11.937882	-0.380978	-22.774002	-65.387179	0.000000	
154	1.53000	-0.290381	-8.731070	527.859816	-34.282941	11.858297	-0.376025	-22.594918	-64.834070	0.000000	
155	1.54000	-0.473721	-7.725148	529.366426	-34.090821	11.868012	-0.357230	-22.535332	-64.365391	0.000000	
156	1.55000	-0.701553	-6.970333	531.044425	-33.907052	11.769067	-0.347581	-22.260859	-63.875451	0.000000	
157	1.56000	-1.044155	-6.421377	531.571440	-33.760158	11.715280	-0.379118	-22.111578	-63.578282	0.000000	
158	1.57000	-1.725506	-5.874805	533.517373	-33.730400	11.623543	-0.364160	-21.807668	-63.334258	0.000000	
159	1.58000	-2.270005	-5.626072	535.825432	-33.845858	11.639621	-0.404565	-21.703123	-63.298185	0.000000	
160	1.59000	-2.724326	-5.626264	538.488451	-33.790620	11.811050	-0.445836	-21.880633	-62.885320	0.000000	
161	1.60000	-3.065841	-5.466964	540.089079	-33.789598	11.946178	-0.505256	-22.040752	-62.710695	0.000000	
162	1.61000	-3.408049	-5.784658	540.704096	-33.608028	12.019726	-0.578955	-22.126173	-62.280333	0.000000	
163	1.62000	-3.411209	-5.894675	539.810666	-33.291445	12.094975	-0.643911	-22.301704	-61.787740	0.000000	
164	1.63000	-3.505040	-6.028293	538.117111	-33.011401	12.097464	-0.676399	-22.368955	-61.449939	0.000000	
165	1.64000	-3.304109	-6.296139	535.174480	-32.542158	12.029611	-0.672819	-22.379574	-60.887616	0.000000	
166	1.65000	-3.102615	-6.974427	531.603640	-32.054714	11.844500	-0.678526	-22.196058	-60.324098	0.000000	
167	1.66000	-2.649853	-7.539903	528.924950	-31.738253	11.640174	-0.711746	-21.956158	-59.985044	0.000000	
168	1.67000	-2.261681	-8.450007	528.555822	-31.567180	11.497520	-0.680879	-21.731318	-59.632951	0.000000	
