NO_OF_SAMPLES	402
FREQUENCY	100
TIME_STAMP	2019-10-17, 15:22:40	106860.80024563
FIRST_SAMPLE	95
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 2
FORCE_PLATE_CORNER_POSX_POSY_X	519.708008
FORCE_PLATE_CORNER_POSX_POSY_Y	471.890015
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	517.812012
FORCE_PLATE_CORNER_NEGX_POSY_Y	14.711200
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	13.237100
FORCE_PLATE_CORNER_NEGX_NEGY_Y	18.357599
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	16.436701
FORCE_PLATE_CORNER_POSX_NEGY_Y	475.112000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
95	0.94000	1.293133	0.832178	4.157430	0.169583	0.562850	-0.175983	0.000000	0.000000	0.000000	
96	0.95000	1.338905	0.786547	4.158476	0.142244	0.544288	-0.153075	0.000000	0.000000	0.000000	
97	0.96000	1.338873	0.923157	4.246746	0.178820	0.553703	-0.162326	0.000000	0.000000	0.000000	
98	0.97000	1.246982	0.877648	3.799594	0.169491	0.553639	-0.157515	0.000000	0.000000	0.000000	
99	0.98000	1.338779	0.877657	4.247386	0.142426	0.544302	-0.157705	0.000000	0.000000	0.000000	
100	0.99000	1.338300	0.787029	3.978643	0.178669	0.517506	-0.171448	0.000000	0.000000	0.000000	
101	1.00000	1.224587	0.809352	3.978123	0.187713	0.544746	-0.175807	0.000000	0.000000	0.000000	
102	1.01000	1.293460	0.763685	4.068374	0.187604	0.553765	-0.162161	0.000000	0.000000	0.000000	
103	1.02000	1.292531	0.900789	4.067391	0.169711	0.553886	-0.185201	0.000000	0.000000	0.000000	
104	1.03000	1.338744	0.763960	4.158340	0.142182	0.571780	-0.171473	0.000000	0.000000	0.000000	
105	1.04000	1.384097	0.900801	4.157067	0.196927	0.572326	-0.180828	0.000000	0.000000	0.000000	
106	1.05000	1.361213	0.809598	4.068985	0.133045	0.599090	-0.171569	0.000000	0.000000	0.000000	
