NO_OF_SAMPLES	194
FREQUENCY	100
TIME_STAMP	2019-10-17, 14:50:21	104921.99350972
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	-89.748001
FORCE_PLATE_CORNER_POSX_POSY_Y	574.848022
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	-93.639297
FORCE_PLATE_CORNER_NEGX_POSY_Y	115.820999
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	-595.119995
FORCE_PLATE_CORNER_NEGX_NEGY_Y	120.332001
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-592.184021
FORCE_PLATE_CORNER_POSX_NEGY_Y	578.882996
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1	0.00000	0.262522	-0.008593	3.853670	0.134571	0.023700	-0.108827	0.000000	0.000000	0.000000	
2	0.01000	0.216640	0.059853	3.766482	0.143419	0.059901	-0.108777	0.000000	0.000000	0.000000	
3	0.02000	0.080183	0.059636	3.764806	0.143800	0.032587	-0.117738	0.000000	0.000000	0.000000	
4	0.03000	0.057573	-0.032085	3.410467	0.116201	0.032400	-0.108510	0.000000	0.000000	0.000000	
5	0.04000	0.148856	-0.008999	3.674960	0.116742	-0.012759	-0.113166	0.000000	0.000000	0.000000	
6	0.05000	0.193690	-0.076979	3.498388	0.134803	0.023779	-0.145467	0.000000	0.000000	0.000000	
7	0.06000	0.239590	-0.100000	3.319832	0.116638	-0.021563	-0.127075	0.000000	0.000000	0.000000	
8	0.07000	0.262292	-0.099713	3.497940	0.143496	0.014830	-0.118044	0.000000	0.000000	0.000000	
9	0.08000	0.125945	-0.168537	3.675324	0.134486	0.032685	-0.127112	0.000000	0.000000	0.000000	
10	0.09000	0.148565	-0.100283	3.320118	0.107613	-0.012699	-0.131538	0.000000	0.000000	0.000000	
11	0.10000	0.239514	-0.100062	3.409474	0.107620	-0.003525	-0.136269	0.000000	0.000000	0.000000	
12	0.11000	0.239566	-0.054140	3.498638	0.152240	0.032908	-0.099666	0.000000	0.000000	0.000000	
13	0.12000	0.103906	-0.169522	3.854287	0.062039	0.022966	-0.113179	0.000000	0.000000	0.000000	
14	0.13000	0.217086	-0.077417	3.677133	0.116091	0.041630	-0.104200	0.000000	0.000000	0.000000	
15	0.14000	0.057592	-0.031863	3.498200	0.134426	0.023480	-0.108540	0.000000	0.000000	0.000000	
16	0.15000	0.216945	-0.099859	3.763933	0.134729	0.014677	-0.127168	0.000000	0.000000	0.000000	
17	0.16000	0.080812	-0.100521	3.764370	0.116298	0.023334	-0.104018	0.000000	0.000000	0.000000	
18	0.17000	0.125749	-0.100477	3.144304	0.107008	0.023448	-0.113184	0.000000	0.000000	0.000000	
19	0.18000	0.125913	-0.077910	3.323007	0.088831	0.041357	-0.108585	0.000000	0.000000	0.000000	
20	0.19000	0.262073	-0.054683	3.323992	0.088988	0.050638	-0.127119	0.000000	0.000000	0.000000	
21	0.20000	0.148875	-0.009084	3.764233	0.107731	-0.003783	-0.117758	0.000000	0.000000	0.000000	
22	0.21000	0.216657	-0.031453	3.409769	0.134505	0.014689	-0.117910	0.000000	0.000000	0.000000	
23	0.22000	0.239184	-0.054506	3.146239	0.115810	0.059863	-0.113370	0.000000	0.000000	0.000000	
24	0.23000	0.148517	0.059145	3.500354	0.089367	0.023245	-0.117688	0.000000	0.000000	0.000000	
25	0.24000	0.262074	-0.122799	3.411451	0.116167	0.050871	-0.131817	0.000000	0.000000	0.000000	
26	0.25000	0.217230	-0.031339	4.206368	0.135332	-0.012551	-0.131712	0.000000	0.000000	0.000000	
