NO_OF_SAMPLES	194
FREQUENCY	100
TIME_STAMP	2019-10-17, 14:50:21	104921.99350972
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 3
FORCE_PLATE_CORNER_POSX_POSY_X	1135.569946
FORCE_PLATE_CORNER_POSX_POSY_Y	564.732971
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	1128.060059
FORCE_PLATE_CORNER_NEGX_POSY_Y	106.624001
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	625.776978
FORCE_PLATE_CORNER_NEGX_NEGY_Y	113.992996
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	633.607971
FORCE_PLATE_CORNER_POSX_NEGY_Y	574.497986
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1	0.00000	0.116827	-5.389836	531.958931	-16.306413	16.140863	-0.027374	-30.605086	-29.791501	0.000000	
2	0.01000	0.026192	-5.480697	532.133767	-16.324752	16.149790	-0.032056	-30.605083	-29.809203	0.000000	
3	0.02000	0.092088	-5.457010	531.610513	-16.361026	16.103962	-0.018331	-30.553704	-29.909009	0.000000	
4	0.03000	0.184096	-5.503373	531.961198	-16.297458	16.113440	-0.009203	-30.558457	-29.766010	0.000000	
5	0.04000	0.069596	-5.661245	531.961667	-16.306472	16.076855	-0.014134	-30.481057	-29.771070	0.000000	
6	0.05000	0.208788	-5.686871	532.663448	-16.334352	16.140417	-0.018583	-30.571002	-29.781664	0.000000	
7	0.06000	0.323142	-5.688081	532.840785	-16.380132	16.140043	-0.013996	-30.568785	-29.857426	0.000000	
8	0.07000	0.210541	-5.779443	533.190576	-16.398675	16.157965	-0.009458	-30.574072	-29.865470	0.000000	
9	0.08000	0.232794	-5.984972	533.454732	-16.426491	16.212371	-0.004864	-30.662713	-29.887205	0.000000	
10	0.09000	0.235639	-5.918341	533.979348	-16.408603	16.230554	0.004408	-30.667102	-29.828878	0.000000	
11	0.10000	0.215843	-5.874319	534.504596	-16.454330	16.239305	-0.009385	-30.652108	-29.887957	0.000000	
12	0.11000	0.236979	-5.919210	534.242582	-16.463361	16.239307	-0.009389	-30.668601	-29.916387	0.000000	
13	0.12000	0.078753	-5.919447	534.415402	-16.481768	16.284699	-0.013815	-30.731874	-29.940991	0.000000	
14	0.13000	0.122377	-5.804992	533.889285	-16.445129	16.285027	0.000190	-30.765788	-29.910884	0.000000	
15	0.14000	-0.126575	-5.781152	533.973308	-16.453901	16.285085	-0.032022	-30.742467	-29.924318	0.000000	
16	0.15000	-0.058382	-5.758750	533.973422	-16.426600	16.294409	-0.027361	-30.765025	-29.874859	0.000000	
17	0.16000	0.033243	-5.668185	533.974707	-16.444709	16.257835	-0.027421	-30.703314	-29.915478	0.000000	
18	0.17000	-0.034414	-5.531849	533.885751	-16.444799	16.257694	-0.008849	-30.703060	-29.930908	0.000000	
19	0.18000	0.077395	-5.485486	533.447209	-16.380542	16.267609	-0.027122	-30.755053	-29.838906	0.000000	
20	0.19000	0.006185	-5.506689	532.833414	-16.398528	16.285872	-0.031568	-30.819124	-29.905971	0.000000	
21	0.20000	-0.063097	-5.483173	532.570094	-16.389432	16.276710	-0.013131	-30.811836	-29.905669	0.000000	
22	0.21000	-0.039867	-5.347101	532.481222	-16.380218	16.295105	-0.017498	-30.853225	-29.903643	0.000000	
23	0.22000	0.005670	-5.506661	532.746854	-16.407854	16.267361	-0.004011	-30.789304	-29.928414	0.000000	
24	0.23000	0.095439	-5.528653	532.485550	-16.443781	16.240120	-0.040934	-30.759866	-30.009144	0.000000	
25	0.24000	0.049391	-5.642853	532.573630	-16.480667	16.285287	-0.027047	-30.836176	-30.064798	0.000000	
26	0.25000	0.096046	-5.575502	532.749610	-16.480913	16.266843	-0.004065	-30.794952	-30.060228	0.000000	
27	0.26000	0.050523	-5.620258	532.750349	-16.498984	16.221111	-0.008914	-30.705655	-30.090750	0.000000	
28	0.27000	0.052065	-5.621859	533.101270	-16.563195	16.256990	-0.004188	-30.753027	-30.190969	0.000000	
29	0.28000	0.096339	-5.644722	532.927333	-16.581614	16.265887	0.014274	-30.782996	-30.233819	0.000000	
30	0.29000	0.003747	-5.802877	532.753148	-16.663485	16.265437	-0.008864	-30.785189	-30.385669	0.000000	
31	0.30000	0.029584	-5.781843	533.367094	-16.700232	16.255901	-0.008967	-30.734101	-30.420639	0.000000	
32	0.31000	0.051156	-5.918822	533.370382	-16.782785	16.255019	0.023134	-30.733875	-30.564963	0.000000	
33	0.32000	0.029454	-5.986601	533.633736	-16.764402	16.200420	0.013567	-30.614893	-30.510130	0.000000	
34	0.33000	0.075480	-5.941933	533.721421	-16.764586	16.218592	0.022889	-30.647399	-30.508731	0.000000	
35	0.34000	0.029248	-6.077956	533.722555	-16.828329	16.218222	0.004346	-30.643180	-30.617914	0.000000	
36	0.35000	0.051280	-5.964960	533.459916	-16.874162	16.254267	0.027698	-30.727359	-30.727593	0.000000	
37	0.36000	0.072975	-6.100517	533.374786	-16.937629	16.208417	-0.000240	-30.647886	-30.841407	0.000000	
38	0.37000	0.073110	-6.077248	533.375743	-16.883072	16.135530	0.040881	-30.511190	-30.740808	0.000000	
39	0.38000	0.049710	-6.076970	533.201092	-16.946730	16.135192	0.027114	-30.518713	-30.870435	0.000000	
40	0.39000	0.186772	-6.010181	533.290174	-16.983373	16.153170	0.031865	-30.557639	-30.938918	0.000000	
41	0.40000	0.121273	-5.965103	533.727772	-16.992472	16.107396	0.027042	-30.442127	-30.933599	0.000000	
42	0.41000	0.120199	-5.918243	533.377638	-16.982893	16.052904	0.017694	-30.359699	-30.939756	0.000000	
43	0.42000	0.119341	-5.940602	533.203743	-17.037476	16.034327	0.013027	-30.334612	-31.050688	0.000000	
44	0.43000	0.164988	-5.941208	533.292520	-17.028714	16.025013	0.045196	-30.315561	-31.028967	0.000000	
45	0.44000	0.093195	-6.007673	532.593368	-17.119628	16.006219	0.045176	-30.314350	-31.236016	0.000000	
46	0.45000	0.277479	-6.123602	533.297233	-17.174563	16.015006	0.021982	-30.304956	-31.288510	0.000000	
47	0.46000	0.207345	-6.099879	532.858905	-17.183671	16.014871	0.040491	-30.324165	-31.333495	0.000000	
48	0.47000	0.253625	-6.282448	533.299059	-17.211206	16.005508	0.030989	-30.285257	-31.345212	0.000000	
49	0.48000	0.274670	-6.258688	532.863180	-17.274714	15.950421	0.030856	-30.208021	-31.492189	0.000000	
50	0.49000	0.342695	-6.259585	532.864783	-17.329643	15.968207	0.040158	-30.246410	-31.595109	0.000000	
51	0.50000	0.251533	-6.327096	532.864781	-17.356882	15.949783	0.030805	-30.205000	-31.641165	0.000000	
52	0.51000	0.342519	-6.417840	532.956249	-17.420501	15.867292	0.021141	-30.051900	-31.748224	0.000000	
53	0.52000	0.252194	-6.509119	533.219451	-17.448225	15.866822	0.039424	-30.029542	-31.777481	0.000000	
54	0.53000	0.254442	-6.509641	533.656972	-17.429912	15.848755	0.020856	-29.971445	-31.716698	0.000000	
55	0.54000	0.274669	-6.691127	533.397855	-17.539420	15.838827	0.025295	-29.968782	-31.924034	0.000000	
56	0.55000	0.277789	-6.510141	533.747719	-17.539401	15.793117	0.029835	-29.863899	-31.916322	0.000000	
57	0.56000	0.276341	-6.736641	533.750683	-17.575862	15.747209	0.029402	-29.777616	-31.967498	0.000000	
58	0.57000	0.322817	-6.600132	533.749259	-17.511762	15.729558	0.020243	-29.748103	-31.857710	0.000000	
59	0.58000	0.483103	-6.395883	533.663758	-17.529698	15.647406	0.024720	-29.610890	-31.911787	0.000000	
60	0.59000	0.505388	-6.463420	533.664421	-17.484029	15.611232	0.029078	-29.544737	-31.821114	0.000000	
61	0.60000	0.482591	-6.508169	533.665173	-17.492927	15.565616	0.019624	-29.457512	-31.834392	0.000000	
62	0.61000	0.506558	-6.394766	533.752379	-17.465551	15.538384	0.028810	-29.403515	-31.786316	0.000000	
63	0.62000	0.485113	-6.257635	533.750229	-17.410313	15.502538	0.001159	-29.334869	-31.693221	0.000000	
64	0.63000	0.482715	-6.279175	533.311939	-17.355563	15.502911	0.019604	-29.359287	-31.615368	0.000000	
65	0.64000	0.371337	-6.256025	533.661142	-17.346194	15.448264	0.000915	-29.229504	-31.578558	0.000000	
66	0.65000	0.482937	-6.322766	533.312758	-17.300195	15.384926	-0.003999	-29.138029	-31.508234	0.000000	
67	0.66000	0.505173	-6.322362	533.225252	-17.254614	15.366949	0.009733	-29.110723	-31.428029	0.000000	
68	0.67000	0.530827	-6.255650	533.750477	-17.245747	15.366868	0.014324	-29.084095	-31.385035	0.000000	
69	0.68000	0.578154	-6.165635	534.013831	-17.245894	15.339359	0.028069	-29.021904	-31.376340	0.000000	
70	0.69000	0.714863	-6.143354	534.101300	-17.163830	15.349142	0.028099	-29.045735	-31.219146	0.000000	
71	0.70000	0.646793	-6.164832	534.100934	-17.117993	15.285603	0.027782	-28.921699	-31.131739	0.000000	
72	0.71000	0.620827	-6.139936	533.399380	-17.035683	15.258842	0.050792	-28.907289	-31.020839	0.000000	
73	0.72000	0.756597	-6.070697	533.138006	-16.980482	15.177334	0.045926	-28.778627	-30.937920	0.000000	
74	0.73000	0.685356	-5.931488	532.258149	-16.870297	15.178510	0.027766	-28.822642	-30.793254	0.000000	
75	0.74000	0.705016	-5.861102	531.469256	-16.842248	15.151714	0.009421	-28.816108	-30.792158	0.000000	
76	0.75000	0.659757	-5.905864	531.556162	-16.787452	15.124716	0.009224	-28.757247	-30.680597	0.000000	
77	0.76000	0.657542	-5.950557	531.205238	-16.741917	15.152396	0.023151	-28.828017	-30.612086	0.000000	
78	0.77000	0.773160	-5.861730	531.554721	-16.733059	15.225483	0.014305	-28.955417	-30.581671	0.000000	
79	0.78000	0.777249	-5.932183	532.518852	-16.760883	15.234187	0.009525	-28.920105	-30.572438	0.000000	
80	0.79000	0.662611	-5.909555	532.341719	-16.752203	15.297842	0.042081	-29.040614	-30.568156	0.000000	
81	0.80000	0.755475	-5.979256	532.868024	-16.761449	15.325222	0.019032	-29.070529	-30.549638	0.000000	
